Cliente,Segmento,Região,Estado,Cidade
Cliente 0001,Varejo,Centro-Oeste,GO,Goiânia
Cliente 0002,Atacado,Norte,AM,Manaus
Cliente 0003,Varejo,Norte,PA,Belém
Cliente 0004,Varejo,Sul,RS,Porto Alegre
Cliente 0005,Varejo,Sudeste,RJ,Rio de Janeiro
Cliente 0006,Varejo,Norte,TO,Palmas
Cliente 0007,Corporativo,Sul,RS,Porto Alegre
Cliente 0008,Varejo,Sul,RS,Porto Alegre
Cliente 0009,Corporativo,Sudeste,SP,São Paulo
Cliente 0010,Corporativo,Norte,TO,Palmas
Cliente 0011,Varejo,Centro-Oeste,MT,Cuiabá
Cliente 0012,Varejo,Norte,TO,Palmas
Cliente 0013,Varejo,Nordeste,BA,Salvador
Cliente 0014,Varejo,Nordeste,PE,Recife
Cliente 0015,Varejo,Norte,TO,Palmas
Cliente 0016,Atacado,Nordeste,PE,Recife
Cliente 0017,Varejo,Sudeste,RJ,Rio de Janeiro
Cliente 0018,Varejo,Sudeste,RJ,Rio de Janeiro
Cliente 0019,Atacado,Nordeste,CE,Fortaleza
Cliente 0020,Varejo,Norte,TO,Palmas
Cliente 0021,Atacado,Sudeste,RJ,Rio de Janeiro
Cliente 0022,Corporativo,Centro-Oeste,DF,Brasília
Cliente 0023,Varejo,Norte,TO,Palmas
Cliente 0024,Corporativo,Centro-Oeste,GO,Goiânia
Cliente 0025,Corporativo,Sudeste,SP,São Paulo
Cliente 0026,Varejo,Norte,TO,Palmas
Cliente 0027,Atacado,Centro-Oeste,MT,Cuiabá
Cliente 0028,Varejo,Sul,PR,Curitiba
Cliente 0029,Atacado,Sudeste,SP,São Paulo
Cliente 0030,Atacado,Centro-Oeste,MT,Cuiabá
Cliente 0031,Atacado,Norte,AM,Manaus
Cliente 0032,Varejo,Centro-Oeste,DF,Brasília
Cliente 0033,Atacado,Sudeste,RJ,Rio de Janeiro
Cliente 0034,Corporativo,Centro-Oeste,GO,Goiânia
Cliente 0035,Atacado,Centro-Oeste,GO,Goiânia
Cliente 0036,Varejo,Sudeste,SP,São Paulo
Cliente 0037,Atacado,Centro-Oeste,GO,Goiânia
Cliente 0038,Corporativo,Sudeste,RJ,Rio de Janeiro
Cliente 0039,Varejo,Sudeste,SP,São Paulo
Cliente 0040,Varejo,Sudeste,MG,Belo Horizonte
Cliente 0041,Corporativo,Nordeste,PE,Recife
Cliente 0042,Varejo,Centro-Oeste,DF,Brasília
Cliente 0043,Corporativo,Centro-Oeste,DF,Brasília
Cliente 0044,Varejo,Nordeste,BA,Salvador
Cliente 0045,Atacado,Nordeste,BA,Salvador
Cliente 0046,Atacado,Norte,PA,Belém
Cliente 0047,Varejo,Nordeste,PE,Recife
Cliente 0048,Varejo,Nordeste,PE,Recife
Cliente 0049,Varejo,Sul,SC,Florianópolis
Cliente 0050,Corporativo,Nordeste,CE,Fortaleza
Cliente 0051,Atacado,Sul,SC,Florianópolis
Cliente 0052,Corporativo,Norte,PA,Belém
Cliente 0053,Varejo,Sul,PR,Curitiba
Cliente 0054,Varejo,Sudeste,SP,São Paulo
Cliente 0055,Varejo,Sudeste,SP,São Paulo
Cliente 0056,Varejo,Nordeste,PE,Recife
Cliente 0057,Varejo,Centro-Oeste,DF,Brasília
Cliente 0058,Varejo,Norte,TO,Palmas
Cliente 0059,Atacado,Norte,PA,Belém
Cliente 0060,Atacado,Norte,AM,Manaus
Cliente 0061,Varejo,Nordeste,CE,Fortaleza
Cliente 0062,Varejo,Centro-Oeste,DF,Brasília
Cliente 0063,Atacado,Norte,AM,Manaus
Cliente 0064,Varejo,Sudeste,RJ,Rio de Janeiro
Cliente 0065,Varejo,Norte,AM,Manaus
Cliente 0066,Varejo,Centro-Oeste,DF,Brasília
Cliente 0067,Varejo,Nordeste,CE,Fortaleza
Cliente 0068,Varejo,Sul,PR,Curitiba
Cliente 0069,Atacado,Sul,RS,Porto Alegre
Cliente 0070,Corporativo,Centro-Oeste,DF,Brasília
Cliente 0071,Varejo,Centro-Oeste,DF,Brasília
Cliente 0072,Atacado,Nordeste,PE,Recife
Cliente 0073,Atacado,Sul,SC,Florianópolis
Cliente 0074,Varejo,Centro-Oeste,DF,Brasília
